證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2643,捷迅,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-2,000"
2718,全心投控,"8,000","34,000","-26,000",0.0,0.0,0.0,0,0,0,"-22,941",0,"23,000","-23,000","3,000","2,941",59,"-48,941"
2719,燦星旅,"1,000","4,000","-3,000",0.0,0.0,0.0,0,0,0,-75,0,0,0,0,75,-75,"-3,075"
2726,雅茗-KY,"3,000","15,000","-12,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-12,000"
2729,瓦城,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
2732,六角,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-3,000"
2734,易飛網,0,"4,000","-4,000",0.0,0.0,0.0,0,0,0,-114,0,0,0,0,114,-114,"-4,114"
2736,富野,"1,000","3,000","-2,000",0.0,0.0,0.0,0,0,0,779,0,0,0,"1,000",221,779,"-1,221"
2743,山富,"20,000","6,000","14,000",0.0,0.0,0.0,0,0,0,"-6,642",0,0,0,503,"7,145","-6,642","7,358"
2745,五福,"1,000","10,000","-9,000",0.0,0.0,0.0,0,0,0,818,0,0,0,"1,000",182,818,"-8,182"
2754,亞洲藏壽司,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
2755,揚秦,"2,000","5,000","-3,000",0.0,0.0,0.0,0,0,0,"-6,719",0,"7,000","-7,000","1,000",719,281,"-9,719"
2756,聯發國際,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,-653,0,0,0,347,"1,000",-653,"-3,653"
2916,滿心,"7,000","10,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-3,000"
2926,誠品生活,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,47,0,0,0,47,0,47,-953
2937,集雅社,0,0,0,0.0,0.0,0.0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"-2,000"
3066,李洲,"2,000","4,000","-2,000",0.0,0.0,0.0,0,0,0,13,0,0,0,13,0,13,"-1,987"
3071,協禧,"3,000","17,000","-14,000",0.0,0.0,0.0,0,0,0,-52,0,0,0,0,52,-52,"-14,052"
3073,天方能源,"6,120","56,000","-49,880",0.0,0.0,0.0,0,0,0,863,0,0,0,"1,000",137,863,"-49,017"
3078,僑威,"7,565,780","5,461,000","2,104,780",0.0,0.0,0.0,"90,000","1,993,000","-1,903,000","55,280","452,479","62,000","390,479","20,069","355,268","-335,199","257,060"
3081,聯亞,"566,000","452,401","113,599",0.0,0.0,0.0,0,0,0,"115,623","169,000","56,000","113,000","25,029","22,406","2,623","229,222"
3083,網龍,0,"6,000","-6,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-6,000"
3085,新零售,0,0,0,0.0,0.0,0.0,0,0,0,-2,0,2,-2,0,0,0,-2
3086,華義,"13,000","33,000","-20,000",0.0,0.0,0.0,0,0,0,-110,0,0,0,90,200,-110,"-20,110"
3088,艾訊,"117,000","142,000","-25,000",0.0,0.0,0.0,0,"122,000","-122,000","-17,461",0,"18,000","-18,000","5,571","5,032",539,"-164,461"
3095,及成,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,000"
3105,穩懋,"661,880","768,000","-106,120",0.0,0.0,0.0,"158,000",0,"158,000","96,773","101,953","18,100","83,853","31,312","18,392","12,920","148,653"
3114,好德,"18,000","3,000","15,000",0.0,0.0,0.0,0,0,0,"47,000","47,000",0,"47,000",0,0,0,"62,000"
3118,進階,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3122,笙泉,"20,000","12,000","8,000",0.0,0.0,0.0,0,0,0,-11,0,0,0,0,11,-11,"7,989"
3128,昇銳,"514,000","513,000","1,000",0.0,0.0,0.0,0,0,0,299,0,0,0,"3,000","2,701",299,"1,299"
3131,弘塑,"622,020","199,000","423,020",0.0,0.0,0.0,0,"371,000","-371,000","-1,255","2,000",0,"2,000","17,524","20,779","-3,255","50,765"
3141,晶宏,"20,000","90,000","-70,000",0.0,0.0,0.0,0,0,0,"-1,098",0,0,0,0,"1,098","-1,098","-71,098"
3147,大綜,"167,000","122,000","45,000",0.0,0.0,0.0,0,0,0,"-66,678",0,"35,000","-35,000","4,000","35,678","-31,678","-21,678"
3152,璟德,"3,000","24,000","-21,000",0.0,0.0,0.0,0,0,0,"-1,284",0,141,-141,0,"1,143","-1,143","-22,284"
3162,精確,"3,033,000","2,346,000","687,000",0.0,0.0,0.0,0,0,0,"-20,266","3,000","24,000","-21,000","9,000","8,266",734,"666,734"
3163,波若威,"5,972,050","4,783,000","1,189,050",0.0,0.0,0.0,0,"681,000","-681,000","-31,279","21,000","43,000","-22,000","54,929","64,208","-9,279","476,771"
3169,亞信,"51,000","80,000","-29,000",0.0,0.0,0.0,0,0,0,"-1,856",0,0,0,"4,871","6,727","-1,856","-30,856"
3171,炎洲流通,"2,000","9,000","-7,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-7,000"
3176,基亞,"11,001","64,000","-52,999",0.0,0.0,0.0,0,0,0,-1,0,0,0,"1,000","1,001",-1,"-53,000"
3178,公準,"3,000","4,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
3188,鑫龍騰,"34,000","137,000","-103,000",0.0,0.0,0.0,0,0,0,"-12,602",0,0,0,"11,545","24,147","-12,602","-115,602"
3202,樺晟,"18,000","65,000","-47,000",0.0,0.0,0.0,0,0,0,42,0,0,0,42,0,42,"-46,958"
